OBJECTID,CRE_DATE,GEO_MODDATE,ATT_MODDATE,CAP_METHOD,NAME,FULL_NAME,MUNABBR,LOCAL_CLASS,REGIONAL_CLASS,REGION,HECTARES,SURFACE_DESC,GLOBALID,YORK_MUNICIPALITY_ID,SHAPESTArea,SHAPESTLength
1,,,2017/12/06 00:00:00+00,Visual error correction,Chippewas of Georgina Island First Nation,Chippewas of Georgina Island First Nation,FN,,Region,First Nation,0.01262373,Land,{87C2A681-BEE9-48CC-BE11-D94E8ABE093E},1,126.23735,59.845188133208
2,,,2017/12/06 00:00:00+00,,Chippewas of Georgina Island First Nation,Chippewas of Georgina Island First Nation,FN,,Region,First Nation,20.37678721,Land,{541E1EBE-AF02-47EE-B284-D0941E70710A},1,203767.87205,2180.25516225285
3,,,2017/12/06 00:00:00+00,,Simcoe,County of Simcoe,SC,,County,Simcoe,0.05076983,Land,{F46EC941-F20D-44D4-8AAF-70F61447E8C5},-1,507.6983,124.014985168789
4,,,2017/12/06 00:00:00+00,,Simcoe,County of Simcoe,SC,,County,Simcoe,0.05706566,Land,{310112FF-003F-471C-BCF4-12785F0A9C24},-1,570.65665,144.837916816555
5,,,2017/12/06 00:00:00+00,Visual error correction,Georgina,Town of Georgina,GE,,Region,York,0.02393968,Land,{91656133-BD91-457D-B37F-4727E8FA7AAE},4,239.39675,89.0560632795936
6,,,2017/12/06 00:00:00+00,,Simcoe,County of Simcoe,SC,,County,Simcoe,0.03870472,Land,{E4E9B31B-44A1-4CEB-BA9E-9BD6498EB391},-1,387.04725,113.21991944925
7,,,2017/12/06 00:00:00+00,,Durham,Region of Durham,DR,,Region,Durham,439.51455042,Land,{77071E2B-F6EE-4603-815B-7363AA29A0D6},-1,4395145.50415,11103.7770766738
8,2005/02/22 11:45:40+00,2005/02/22 11:45:40+00,2017/12/06 00:00:00+00,Migration2005,Chippewas of Georgina Island First Nation,Chippewas of Georgina Island First Nation,FN,,Region,First Nation,0.05755787,Land,{742C3583-3207-4FEF-9A50-A3DE527ED4B2},1,575.5787,175.843943438635
9,,,2017/12/06 00:00:00+00,,Simcoe,County of Simcoe,SC,,County,Simcoe,1.2562503,Land,{09B762BF-D2D5-42C3-BD05-23ADD98976A0},-1,12562.503,456.278258653688
10,,,2017/12/06 00:00:00+00,,Durham,Region of Durham,DR,,Region,Durham,0.35092544,Land,{CE146A08-4FB9-4C89-95F6-72474DD70AA9},-1,3509.25435,366.927544511381
11,,,2017/12/06 00:00:00+00,,Simcoe,County of Simcoe,SC,,County,Simcoe,36883.210573,Water,{018F4287-5BDD-4DAA-9AED-70A1ED1C0C23},-1,368832105.730052,230720.798879613
12,2005/02/22 11:45:40+00,2005/02/22 11:45:40+00,2017/12/06 00:00:00+00,Migration2005,Chippewas of Georgina Island First Nation,Chippewas of Georgina Island First Nation,FN,,Region,First Nation,1.26380092,Land,{D1EB20A9-FFD7-4DF0-A326-5F17DDCC3D6C},1,12638.0092,880.02499163469
13,2005/02/22 11:45:40+00,2005/02/22 11:45:40+00,2017/12/06 00:00:00+00,Migration2005,Toronto,City of Toronto,TO, ,City,Toronto,64143.18706687,Land,{FD73D499-4C39-4EEB-B223-71B8EF3F165A},-1,641431870.713785,179900.813412644
14,,,2017/12/06 00:00:00+00,Visual error correction,Georgina,Town of Georgina,GE,,Region,York,0.31339699,Land,{21E159E2-48DD-4BA3-9D45-0CC6CB94B443},4,3133.96995,633.967427968542
15,,,2017/12/06 00:00:00+00,Visual error correction,Georgina,Town of Georgina,GE,,Region,York,0.01682986,Land,{95E54315-3F13-4B5D-8B3D-40C086F32273},4,168.2986,67.0418112145286
16,2005/02/22 11:45:40+00,2005/02/22 11:45:40+00,2017/12/06 00:00:00+00,Migration2005,Aurora,Town of Aurora,AU,Town,Region,York,4943.41646519,Land,{4466E9B7-8C21-47F9-92D9-35273A26DEF5},2,49434164.6586701,28339.8299082872
17,,,2017/12/06 00:00:00+00,,Simcoe,County of Simcoe,SC,,County,Simcoe,1.1110531,Land,{8360B4BC-4C0A-4F7A-8E4A-AD5C75878C4C},-1,11110.531,818.261874403883
18,,,2017/12/06 00:00:00+00,,Chippewas of Georgina Island First Nation,Chippewas of Georgina Island First Nation,FN,,Region,First Nation,0.11264744,Land,{7BA144F1-C32F-4219-93F7-97343D2F387B},1,1126.47436837,208.806697807272
19,,,2017/12/06 00:00:00+00,Visual error correction,Georgina,Town of Georgina,GE,,Region,York,0.01249408,Land,{8A0117AD-832A-4F79-8912-F6F32F1A4B4A},4,124.94075,52.6104636260836
20,,,2017/12/06 00:00:00+00,,Simcoe,County of Simcoe,SC,,County,Simcoe,489550.87457792,Land,{DDE8438D-B895-4727-9D63-111AA6570684},-1,4895508745.77159,632815.034888965
