X,Y,OBJECTID,FACILITYID,MUNICIPALITY,LOCATIONDESC
639151.18,4874049.4,1,3026,Whitchurch-Stouffville,Bloomington Avenue and Ninth Line
626993.9075,4855149.9279,2,3050,Richmond Hill,Highway 7 and Red Maple Road
626122.65,4865415.76,3,3042,Richmond Hill,Stouffville Road and Bayview Avenue
617453.68,4853953.22,4,3041,Vaughan,Rutherford Road and Sweetriver Boulevard/Vaughan Mills Mall
626689.6199,4895777.68,5,3040,Georgina,Ravenshoe Road and Warden Avenue
613518.56,4848472.34,6,3030,Vaughan,Highway 7 and Islington Avenue
618140.79,4865006.32,7,3033,King,Keele Street and King Road
620364.18,4874361.38,8,3022,Aurora,Bathurst Street and 18th Sideroad/St. Johns Sideroad
633349.06,4872142.46,9,3027,Whitchurch-Stouffville,Bloomington Road and Kennedy Road
624679.64,4895125.6,10,3047,East Gwillimbury,Woodbine Avenue and Ravenshoe Road
616950.8939,4849115.5513,11,3045,Vaughan,Weston Road and Colossus Road / Rowntree Dairy Road
633626.9,4858502.84,12,3043,Markham,Warden Avenue and Baycliffe Road/ Carlton Road
614575.7,4850064.98,13,3039,Vaughan,Pine Valley Drive and Chancellor Drive / Willis Road
625430.3,4860870.65,14,3028,Richmond Hill,Elgin Mills Road East and Enford Road / Yorkland Street
626559.1718,4854976.7191,15,3004,Richmond Hill,Highway 7 at Yonge Street Ramp and Highway 7
625129.8091,4882380.5641,16,3012,East Gwillimbury,Leslie Street and Green Lane East
616820.1233,4849466.4085,17,3007,Vaughan,Highway 7 and Weston Road
624490.9157,4854114.8228,18,3008,Richmond Hill/Vaughan,Highway 7 at Bathurst Street Ramp and Bathurst Street
631554.82,4858505.8,19,3046,Markham,Woodbine Avenue and 16th Avenue
620805.72,4850305.94,20,3032,Vaughan,Keele Street and Doney Crescent/ Jardin Drive
632681.35,4853142.58,21,3048,Markham,Woodbine Avenue and Steelcase Road
618801.51,4860913.61,22,3034,Vaughan,Keele Street and Kirby Road
635027.27,4855454.15,23,3021,Markham,14th Avenue and Birchmount Road
627126.9532,4860304.4393,24,3024,Richmond Hill,Bayview Avenue and Crosby Avenue / Redstone Road
624640.407,4863519.1416,25,3049,Richmond Hill,Yonge Street and Jefferson Forest Road/Tower Hill Road
624027.53,4877617.91,26,3025,Newmarket,Bayview Avenue and Mulock Drive
625043.0401,4880204.42,27,3001,Newmarket,Davis Drive and Ashton Road at Carlson Drive
629410.2979,4870830.2532,28,3017,Whitchurch-Stouffville,Woodbine Avenue and Bloomington Road
621894.6075,4866175.5487,29,3010,Aurora/King,King Road and Bathurst Street
622550.1743,4898931.0674,30,3015,Georgina,The Queensway South and Metro Road South at Morton Avenue
610579.2848,4847447.0766,31,3006,Vaughan,Highway 7 and Vaughan Valley Boulevard
627545.1017,4880969.8375,32,3018,East Gwillimbury/Whitchurch-Stouffville,Woodbine Avenue and Davis Drive
610555.6522,4849590.2781,33,3003,Vaughan,Highway 27 and Langstaff Road
619955.6835,4865596.9149,34,3011,King,King Road and Dufferin Street
623238.7414,4881694.6547,35,3029,East Gwillimbury,Green Lane East and Main Street North/2nd Concession Road
616094.0846,4853579.3954,36,3052,Vaughan,Weston Road & Rutherford Road
634315.7027,4855205.8875,37,3051,Markham,Warden Ave. and 14th Avenue / Alden Road
612581.0042,4852512.847,38,3054 ,Vaughan,Islington Ave. and Rutherford Rd
618727.5462,4850090.1947,39,3053,Vaughan,Highway 7 and Jane St.
617680.8459,4854007.7217,40,3055,Vaughan,Rutherford Road and Julliard Drive/Vaughan Mills Mall
