OBJECTID,SEGMENTID,FULL_NAME,FROM_STREET,TO_STREET,LEGALSHIELD,LIFECYCLESTATUS,ROADNUMBER,ROADSECTION,MAINTBYSUMMER,MAINTBYWINTER,MAINTSECTION,MAINTCLASS,ROADTYPE,PREVSEGMENT,NEXTSEGMENT,NUMLANES,OWNEDBY,SHAPESTLength
757,32-30,Ravenshoe Road,Leslie Street / The Queensway South,Woodbine Avenue,32,Active,32,30,NO,NO,NO,2,Regional Road,32-28,32-31,2,York Region,2064.08540686268
758,73-28,16th Avenue,Bayview Avenue,Leslie Street,73,Active,73,28,SE,SE,SE,2,Regional Road,73-26,73-29,5,York Region,2015.9396178912
759,81-48,Weirs Sideroad,Snoddon Road,Smith Boulevard,81,Active,81,48,NO,NO,NO,3,Regional Road,81-46,81-50,2,York Region,1430.2788072177
760,71-21M,Centre Street Rapidway,Highway 407,Dufferin Street,71,Active,71,21,SW,SW,SW,1,Rapidway,17-19M,17-22M,2,Metrolinx,479.805861815008
761,11-15,King Road,Weston Road,Highway 400,11,Active,11,15,SW,SW,SW,2,Regional Road,11-14,11-16,3,York Region,999.599814810509
762,73-08,Rutherford Road,Highway 427,Highway 27,73,Active,73,8,SW,SW,SW,2,Regional Road,73-07,73-10,2,York Region,1425.59182229052
763,07-11,Highway 7,Kipling Avenue,Islington Avenue,7,Active,7,11,SW,SW,SW,1,Regional Road,07-10,07-12,5,York Region,677.471092715916
764,12-34,Leslie Street,Farr Avenue / Mount Albert Road,Doane Road / Jeffery Crescent,12,Active,12,34,NO,NO,NO,2,Regional Road,12-32,12-36,2,York Region,1732.27964839141
765,95-10,Steeles Avenue West,Highway 27,Kipling Avenue,95,Active,95,10,,,SW,0,Regional Road,95-08,95-11,4,Toronto,2031.03019587284
766,38-16,Bathurst Street,King Vaughan Road / Milos Road,King Road,38,Active,38,16,SW,SW,SW,2,Regional Road,38-14,38-18,5,York Region,2040.1924534727
767,65-08,Warden Avenue,16th Avenue,Major Mackenzie Drive East,65,Active,65,8,SE,SE,SE,2,Regional Road,65-06,65-10,2,York Region,2073.15742008452
768,25-18,Major Mackenzie Drive West,Jane Street,Keele Street,25,Active,25,18,SW,SW,SW,1,Regional Road,25-16,25-20,4,York Region,2042.36376570516
769,12-46,The Queensway South,Glenwoods Avenue,Metro Road South / Morton Avenue,12,Active,12,46,NO,NO,NO,2,Regional Road,12-44,End,4,York Region,2435.527872971
770,56-01,Weston Road,Steeles Avenue West,Highway 407,56,Active,56,1,SW,SW,SW,2,Regional Road,Start,56-02,5,York Region,1294.88871454037
771,53-16,Dufferin Street,King Vaughan Road,King Road,53,Active,53,16,SW,SW,SW,2,Regional Road,53-14,53-18,2,York Region,2064.40194190746
772,06-91,Bowes Road West - Keele Street Ramp,Bowes Road West,Keele Street,6,Active,6,91,SW,SW,SW,2,Channelized Right Turn Lane,Start,End,1,York Region,179.610095459775
773,13-34,Mount Albert Road,Warden Avenue,Kennedy Road,13,Active,13,34,NO,NO,NO,2,Regional Road,13-32,13-36,2,York Region,2040.30285141458
774,95-29,Steeles Avenue East,Don Mills Road,Highway 404,95,Active,95,29,,,SE,0,Regional Road,95-28,95-30,4,Toronto,721.683391762523
775,40-24,Bloomington Road,15th Sideroad / Bathurst Street,Yonge Street,40,Active,40,24,CE,CE,CE,2,Regional Road,40-22,40-26,2,York Region,2233.6037669642
776,34-04,Bayview Avenue,Highway 407,Highway 7,34,Active,34,4,SE,SE,SE,2,Regional Road,34-03,34-06,6,York Region,218.525779884128
777,08-16,Woodbine Avenue,Stouffville Road,Bethesda Sideroad,8,Active,8,16,CE,CE,CE,2,Regional Road,08-14,08-18,4,York Region,2107.69714712073
778,49-18,Teston Road,Jane Street,Keele Street,49,Active,49,18,SW,SW,SW,3,Regional Road,49-16,49-20,2,York Region,2039.75544953556
779,25-14,Major Mackenzie Drive West,Pine Valley Drive,Weston Road,25,Active,25,14,SW,SW,SW,2,Regional Road,25-12,25-15,2,York Region,2144.87741121769
780,40-38,Bloomington Road,McCowan Road,Highway 48,40,Active,40,38,CE,CE,CE,2,Regional Road,40-36,40-40,2,York Region,2464.52131332694
781,03-08,Kennedy Road,16th Avenue,Major Mackenzie Drive East,3,Active,3,8,SE,SE,SE,2,Regional Road,03-06,03-10,5,York Region,2048.48956488008
782,31-40,Davis Drive,Centre Street,Ninth Line,31,Active,31,40,CE,CE,CE,2,Regional Road,31-39,31-42,2,York Region,1066.26016157301
