name, latitude, longitude
Highway 7 and Leslie Street,43.84437699,-79.38230597
Keele Street and Rutherford Road,43.83645299,-79.50806296
Weston Road and Rutherford Road,43.826166,-79.55620795
Yonge Street and 16th Ave,43.85304104,-79.43304306
Dufferin Street and Centre Street,43.80562804,-79.474593
Highway 7 and Highway 404 SB Off Ramp,43.84650101,-79.37309102
Highway 7 and Woodbine Ave,43.84990796,-79.35802899
Kennedy Road and Major Mckenzie Drive,43.89758904,-79.318845
Bayview Ave and 16th Ave/Carrville Road,43.85780197,-79.41102195
Highway 7 and Wigmoss Crt/Helen St,43.78272546,-79.5796972
Highway 7 and Village Pkwy,43.85793062,-79.32458441
Highway 7 and Grandview,43.87130043,-79.26782008
Langstaff and Dufferin,43.82414896,-79.47851799
Rutherford Road & Sweetriver Boulevard,43.82953569,-79.53886024
Highway 7 and Highway 27,43.77313604,-79.62153304
Bathurst Street and Centre Street,43.81087198,-79.449928
Woodbine Ave and 16th Ave,43.86791901,-79.36277302
Bayview Ave and Major Mackenzie Drive,43.87604598,-79.41546106
Highway 7 and Chalmers Road,43.84071596,-79.39830896
Highway 7 and East Beaver Creek Drive,43.84535497,-79.37801299
Highway 7 and Times/Valleymede Drive,43.84220899,-79.39176204
Highway 7 and West Beaver Creek Road,43.84340499,-79.38654206
Bathurst Street and Carrville/Rutherford Road,43.84768698,-79.45866803
Highway 7 and Montgomery Crt,43.85117097,-79.35195606
Highway 7 and Wooten Way,43.87785908,-79.24325124
Major Mackenzie Drive and Warden Avenue,43.89231253,-79.34331371
Woodbine Avenue and Major Mackenzie Drive,43.88593213,-79.36724482
Highway 7 and Pine Valley Drive,43.78417096,-79.573102
Yonge Street and Major Mackenzie Drive,43.87125003,-79.43723996
Highway 7 and Main St (Unionville),43.86147768,-79.30994507
Warden Avenue and Clegg Road,43.85326103,-79.33308703
Highway 27 and Rutherford Road,43.81098104,-79.62900996
Kennedy Road and Highway 7,43.86270301,-79.30370799
Highway 7 and Islington Avenue,43.7806025,-79.58929387
Highway 7 and Rodick Road,43.85249144,-79.34608695
Highway 7 and South Town Centre Boulevard,43.85414747,-79.33928418
Highway 7 and Swansea,43.86395509,-79.29833478
Highway 7 and Keele Street,43.80033402,-79.49942301
Langstaff and Weston,43.80793324,-79.55187104
Islington and Rutherford,43.81703702,-79.60021858
Highway 7 and Martin Grove,43.77588443,-79.60936782
Highway 7 and Kipling,43.77868041,-79.5972614
14th Avenue and McCowan Road,43.84921861,-79.27966943
16th Avenue and Markham Road,43.89196221,-79.26404963
Weston and Stanton/Canada,43.85549853,-79.56305128
Islington and Langstaff,43.80330412,-79.58501973
Major Mackenzie Dr. and Markham Rd.,43.90994303,-79.26813759
Highway 7 and Highway 404 NB Off Ramp,43.84752346,-79.36864536
Highway 7 and Allstate Parkway,43.84850416,-79.36439017
Major Mackenzie and Keele,43.85487253,-79.51237238
Major Mackenzie and Dufferin,43.8612096,-79.48751714
Highway 27 and Langstaff,43.79142007,-79.62614228
Major Mackenzie Drive and Pine Valley Drive,43.83967607,-79.58629833
Langstaff Road and Pine Valley Drive,43.80249956,-79.57775372
